k,wavelength
1.1336405144873154,1.0571184995737426
1.137564066797735,1.0607356715141145
1.1415902046735642,1.0644690531376084
1.1455460976737004,1.068136790421225
1.142126664564682,1.071829890223874
1.1387848419204378,1.0756419153365717
1.1427952651054318,1.0793871866295264
1.139335221988227,1.0831586303284415
1.1434531170069628,1.087051810291926
1.1474997616213436,1.090877100378288
1.14412296719536,1.0948260639237153
1.1406231740584247,1.0987063618642565
1.1482010208640272,1.0987063618642565
1.1447032765066238,1.102614262849013
1.1412850364364364,1.106648817492191
1.1454203730284138,1.1106135244066278
1.149665433393449,1.1147069399496583
1.1538377929942991,1.1187297004691446
1.1503017895271577,1.1227816008692502
1.1546117141296177,1.126965373080069
1.1588718549164452,1.1310772598741219
1.1631394189599504,1.1352192621074795
1.1675456351243838,1.1394964160999816
1.171877082625073,1.1437004242759639
1.176373556840698,1.1480418479770391
1.18077042251224,1.1523092649382027
1.185200097579101,1.15660852532413
1.1897743423137,1.1610486891385767
1.1942959996485176,1.1654135338345863
1.1989403874747966,1.16992169072554
1.2035068564924658,1.1743536319727246
1.208222915842937,1.178931355771059
1.212884910471516,1.1834319526627217
1.2175577528140462,1.1879670434949223
1.2223841065787167,1.1926517264595555
1.2271301813844064,1.1972578932123201
1.2403425528465275,1.202016285381931
1.2451959515848685,1.2066952121448034
1.2500872823447697,1.211410707307542
1.2551655782336362,1.2162824914173613
1.260135193944646,1.2210733628754307
1.2652692030054824,1.2260233339924855
1.2703188945960577,1.2308914036132617
1.2754347413701614,1.2357982858281842
1.2808218595568879,1.2409927942353884
1.2945869653279416,1.2459807073954985
1.2998375096187735,1.2510088781275222
1.3051569316205323,1.2560777957860616
1.3194605066982528,1.261444557477111
1.324851560862495,1.2665985699693565
1.3303668517469298,1.2717948717948717
1.3358740281129664,1.2770339855818744
1.3414267654286731,1.2823164426059979
1.3384221702578591,1.2879102617366016
1.3440330177700017,1.2932832707551105
1.3497180994420366,1.2987012987012987
1.3464313673007429,1.3041649137568363
