Frequency (in um-1),Absorption
0.5882352941176471,0.015189180612864266
0.5894669425559168,0.015277292664697994
0.5906985909941866,0.015371607914298115
0.5919302394324564,0.015470959850307772
0.5931618878707262,0.015574403348951313
0.5943935363089959,0.015681167677956916
0.5956251847472658,0.015790621862078472
0.5968568331855355,0.015902249073889464
0.5980884816238053,0.018011477228724707
0.5993201300620751,0.018140469455366875
0.6005517785003449,0.01827075114221457
0.6017834269386146,0.01840209273001722
0.6030150753768845,0.0185343335957706
0.6042467238151542,0.01866738039523525
0.605478372253424,0.018801207948435934
0.6067100206916938,0.018935862671213298
0.6079416691299636,0.0190714687218826
0.6091733175682333,0.019208237213731827
0.6104049660065032,0.01934647905946759
0.6116366144447729,0.021458841691896196
0.6128682628830426,0.021615774669762822
0.6140999113213125,0.021776222130417307
0.6153315597595822,0.021941223575817455
0.616563208197852,0.022112107651356232
0.6177948566361218,0.02229057041064208
0.6190265050743916,0.022478781340471585
0.6202581535126613,0.02267952886510582
0.6214898019509312,0.022896423081595913
0.6227214503892009,0.023134183248260498
0.6239530988274707,0.025349587888646292
0.6251847472657405,0.02567397191014894
0.6264163957040103,0.026048882995738775
0.62764804414228,0.026491547885587205
0.6288796925805499,0.027026730062250797
0.6301113410188196,0.02769136855006749
0.6313429894570894,0.028543508686932006
0.6325746378953592,0.029682029247853427
0.6338062863336289,0.03130107268500007
0.6350379347718987,0.03390836134359716
0.6362695832101685,0.04004601835103907
0.6375012316484383,0.08652904848892452
0.638732880086708,0.05489165702583869
0.6399645285249779,0.06211200166515338
0.6411961769632476,0.08535754370768169
0.6424278254015174,0.14343670699750904
0.6436594738397872,0.33018664157479133
0.644891122278057,0.9065804074253738
0.6461227707163267,0.5386793588578042
0.6473544191545966,0.20380202618956952
0.6485860675928663,0.10887890379167796
0.6498177160311361,0.0778028006409062
0.6510493644694059,0.06069476734636596
0.6522810129076757,0.04989642778212309
0.6535126613459454,0.04377194473275463
0.6547443097842152,0.03983338234947118
0.655975958222485,0.03711844889967661
0.6572076066607548,0.0351556485580454
0.6584392550990246,0.03368178049996663
0.6596709035372943,0.03253958341197196
0.6609025519755641,0.03163027854821587
0.6621342004138339,0.03213203863301334
0.6633658488521037,0.03148808923858624
0.6645974972903734,0.03094305019609056
0.6658291457286433,0.03047431340314037
0.667060794166913,0.03006550370159389
0.6682924426051828,0.02970456819570624
0.6695240910434526,0.029382520309293784
0.6707557394817224,0.02909259463941402
0.6719873879199921,0.028829666496394346
0.673219036358262,0.028589846134221945
0.6744506847965317,0.02837019084705857
0.6756823332348014,0.028806656868839136
0.6769139816730713,0.028616650025826317
0.6781456301113411,0.028442231536275477
0.6793772785496108,0.02828264453563373
0.6806089269878806,0.028137488516331695
0.6818405754261504,0.028006679093170953
0.6830722238644201,0.02789042211997374
0.68430387230269,0.027789199801552422
0.6855355207409597,0.027703767380823197
0.6867671691792295,0.0276351597414511
0.6879988176174993,0.027665192873549158
0.6892304660557691,0.027633657046699213
0.6904621144940388,0.027623918736273543
0.6916937629323087,0.027638400729494243
0.6929254113705784,0.027680014148611293
0.6941570598088482,0.027752257983727907
0.695388708247118,0.027859360249680675
0.6966203566853878,0.02800649432591381
0.6978520051236575,0.028200162240272716
0.6990836535619274,0.028449060925324607
0.7003153020001971,0.028766885167255656
0.7015469504384668,0.028661553454694125
0.7027785988767367,0.029366228098765088
0.7040102473150064,0.030222846982582284
0.7052418957532762,0.030356808130268927
0.706473544191546,0.031098426322504372
0.7077051926298158,0.03206932587553787
0.7089368410680855,0.03327944077086372
0.7101684895063554,0.03479344827023839
0.7114001379446251,0.03673072911106724
0.7126317863828949,0.03935019093020929
0.7138634348211647,0.04183991510590591
0.7150950832594345,0.0519464182683414
0.7163267316977042,0.0808065907222767
0.7175583801359741,0.05691218576398518
0.7187900285742438,0.06051156492854997
0.7200216770125136,0.0692540289854293
0.7212533254507834,0.08248458566484998
0.7224849738890531,0.1025809667414918
0.7237166223273229,0.13592602525538502
0.7249482707655928,0.2064247277380588
0.7261799192038625,0.5133819976430123
0.7274115676421322,0.4155016538060148
0.7286432160804021,0.3963423546318388
0.7298748645186718,0.5004020832357107
0.7311065129569416,0.54426930936045
0.7323381613952114,0.4671509257383683
0.7335698098334812,0.3454442456424034
0.7348014582717509,0.24738136632035895
0.7360331067100208,0.1790421594261148
0.7372647551482905,0.13505957208147085
0.7384964035865603,0.1057517118733943
0.73972805202483,0.08229981919710265
0.7409597004630999,0.06845897059488866
0.7421913489013696,0.05837569492060965
0.7434229973396393,0.050833425280131135
0.7446546457779092,0.04506330327545747
0.745886294216179,0.04056636056017646
0.7471179426544488,0.03701023802311877
0.7483495910927185,0.034168929579814704
0.7495812395309883,0.03188688483715945
0.7508128879692582,0.03005742478655116
0.7520445364075279,0.02773861718164293
0.7532761848457976,0.02666760954635895
0.7545078332840675,0.025927561512831713
0.7557394817223372,0.025596448489692582
0.756971130160607,0.026232615999391376
0.7582027785988767,0.03815852358195485
0.7594344270371466,0.0278493530563321
0.7606660754754163,0.028170804901943673
0.7618977239136862,0.030682110823765672
0.7631293723519559,0.03567269254986199
0.7643610207902256,0.04540289020688859
0.7655926692284954,0.06656797826913395
0.7668243176667653,0.12372807069602959
0.768055966105035,0.3499010836116149
0.7692876145433047,0.9952127193192988
0.7705192629815746,0.28407589968168645
0.7717509114198444,0.11379449295174933
0.7729825598581141,0.08308815459041258
0.7742142082963839,0.17053537227825263
0.7754458567346537,0.06640329891649964
0.7766775051729234,0.04027989184500167
0.7779091536111933,0.03916691377239804
