Frequency (in um-1),Absorption,Absorption (for 5-nm round-off result)
0.5714285714285714,0.4236049798474147,0.4161441974859343
0.5725648947125457,0.42616564576761395,0.41900812329014053
0.57370121799652,0.42684192069355625,0.4200259460796017
0.5748375412804942,0.42930132727257986,0.4228060897447678
0.5759738645644685,0.43171381930229036,0.42554780583097435
0.5771101878484428,0.43226711198514556,0.42646362223958517
0.5782465111324171,0.4345778724319977,0.42911794189157876
0.5793828344163914,0.43684216506275614,0.43173242275302276
0.5805191577003658,0.4402728508906869,0.4355043479114684
0.5816554809843401,0.4424511404776289,0.43804436070080915
0.5827918042683143,0.44458575959326896,0.44054476045546825
0.5839281275522886,0.4448359876962495,0.4411828926142304
0.5850644508362629,0.4468823988076682,0.44359881356017444
0.5862007741202372,0.4501827295135925,0.44725736374329167
0.5873370974042115,0.4521625728849429,0.4496070405197988
0.5884734206881858,0.45411222096758985,0.45192399489582835
0.58960974397216,0.4541947664363305,0.45238282658660084
0.5907460672561343,0.4560926515445397,0.4546363459101417
0.5918823905401086,0.45797598894842595,0.45686692987486127
0.5930187138240829,0.46114679710071305,0.4603674546400627
0.5941550371080572,0.4630255969434198,0.46257021926721803
0.5952913603920315,0.464913090319195,0.4647654171438325
0.5964276836760057,0.4648797186863925,0.46502648546435343
0.5975640069599801,0.4668121102495516,0.4672227511773999
0.5987003302439544,0.4687878056050847,0.46943530544316026
0.5998366535279287,0.46897740112568964,0.4698322898433313
0.600972976811903,0.47108232051568055,0.47210499487634316
0.6021093000958773,0.4732803826501012,0.4744290032436652
0.6032456233798515,0.4769084706456679,0.4781365937796293
0.6043819466638258,0.4793594598552713,0.48061176935759164
0.6055182699478001,0.4819741477258088,0.48318818059538743
0.6066545932317744,0.48293722581450793,0.48403524147700894
0.6077909165157487,0.48597168218840014,0.48687792991940765
0.608927239799723,0.48744827545130215,0.4880610410329037
0.6100635630836972,0.4910557476248866,0.49127918254717456
0.6111998863676715,0.49501885589318223,0.4947351246420847
0.6123362096516458,0.4974955641351108,0.49655440950999546
0.6134725329356201,0.5023402728647037,0.5006053766111412
0.6146088562195944,0.507722476791779,0.5050236331071969
0.6157451795035688,0.5119376461086397,0.5080581232545597
0.6168815027875431,0.5186368419788496,0.5133820844745262
0.6180178260715173,0.5261277443226279,0.5192555603452698
0.6191541493554916,0.5327655483674243,0.523965904148099
0.6202904726394659,0.5421748536185983,0.5311796797656716
0.6214267959234402,0.5527186001205142,0.5391947016633907
0.6225631192074145,0.5628598674120119,0.5463778921139548
0.6236994424913888,0.5761068254623362,0.5563240115724155
0.624835765775363,0.5909104826839566,0.5674038365930292
0.6259720890593373,0.6058655087339864,0.5780839219228809
0.6271084123433116,0.6242605268323239,0.5918453711431721
0.6282447356272859,0.644618984407485,0.6071348914541219
0.6293810589112602,0.6656155894287089,0.6224738585014414
0.6305173821952345,0.6901996265213408,0.6412517041675483
0.6316537054792088,0.7168343964593167,0.6619037562094283
0.6327900287631831,0.7443547511727439,0.6831623921942911
0.6339263520471574,0.7746542022177778,0.7077646735284563
0.6350626753311317,0.8054205815271508,0.7331123500490551
0.636198998615106,0.8376324367673513,0.7613652756078885
0.6373353218990803,0.8695892850272463,0.7909800112941503
0.6384716451830545,0.9004868814559084,0.8220329686824275
0.6396079684670288,0.9287271388137726,0.852652838087272
0.6407442917510031,0.9534909192800769,0.8827136401221564
0.6418806150349774,0.9738021356196841,0.9110562724899867
0.6430169383189517,0.9886444508463612,0.93724666840541
0.644153261602926,0.997443884567698,0.9598898834107972
0.6452895848869002,0.9999601628983945,0.978101663077246
0.6464259081708745,0.9962138852316775,0.9910712615178384
0.6475622314548488,0.9867472438287216,0.9983182018059714
0.6486985547388231,0.9718186055084053,0.9996295186744281
0.6498348780227975,0.9530367965257774,0.9952029853637432
0.6509712013067718,0.9310499156023518,0.9855163263907017
0.6521075245907461,0.9057719746955899,0.9707486937145549
0.6532438478747203,0.8798496340636861,0.9525267168992082
0.6543801711586946,0.8531669990448328,0.9313649243239667
0.6555164944426689,0.8248665874688068,0.9070650735513969
0.6566528177266432,0.7981489506170535,0.882255023448958
0.6577891410106175,0.7704355412928084,0.8554271920264753
0.6589254642945918,0.7450868113632471,0.8295731979227752
0.660061787578566,0.7207353412417479,0.803942510306194
0.6611981108625403,0.6988758616718426,0.7801138430386294
0.6623344341465146,0.6767515483040129,0.7558118464202448
0.6634707574304889,0.6557437009955595,0.7323889048248733
0.6646070807144633,0.6373643013484954,0.7114055915728719
0.6657434039984376,0.6185191002888276,0.6899894109058364
0.6668797272824118,0.6006821261751187,0.6695892251701447
0.6680160505663861,0.5819740027083539,0.6483719572504266
0.6691523738503604,0.5659986756524045,0.6299452034091915
0.6702886971343347,0.5508697358773701,0.6124636974027233
0.671425020418309,0.5380349816278024,0.5974164331727795
0.6725613437022833,0.5244210192169458,0.581681368497007
0.6736976669862575,0.5114901863677812,0.5667431560873482
0.6748339902702318,0.4974654365454363,0.5507622093223647
0.6759703135542061,0.48577592993821644,0.5372801883799574
0.6771066368381804,0.47463484720926763,0.5244512662309085
0.6782429601221547,0.4653321705211902,0.5136196184027171
0.679379283406129,0.4551593338718004,0.5019536874753107
0.6805156066901032,0.44542666564945554,0.4908144567195978
0.6816519299740775,0.43745426313405616,0.4815854328885023
0.6827882532580518,0.42849788825225243,0.4713794827474834
0.6839245765420262,0.421203375849749,0.46297543733125557
0.6850608998260005,0.4129215246202939,0.45357789637930906
0.6861972231099748,0.4049517553250421,0.44455118847173086
0.6873335463939491,0.39577118614507817,0.43428003041845037
