Incidence Angle (rad),Absorption
0.0,0.999362632433591
0.007933314781792407,0.9993318920109773
0.015866629563584814,0.9992395136145965
0.02379994434537722,0.9990858427451385
0.03173325912716963,0.9988714827823124
0.039666573908962034,0.9985973116266834
0.04759988869075444,0.9982644720197863
0.055533203472546845,0.9978743044045655
0.06346651825433926,0.9974281926936941
0.07139983303613166,0.9969273122965833
0.07933314781792407,0.9963723098284389
0.08726646259971647,0.9957629935175062
0.09519977738150888,0.9950981425866393
0.1031330921633013,0.994375521502516
0.11106640694509369,0.9935921092894671
0.11899972172688611,0.9927444660639817
0.12693303650867852,0.9918291131035425
0.13486635129047092,0.9908428212567845
0.14279966607226333,0.9897827614699781
0.15073298085405573,0.9886465290657301
0.15866629563584814,0.9874320844667157
0.16659961041764054,0.9861376563427323
0.17453292519943295,0.9847616410092839
0.18246623998122538,0.9833025165628309
0.19039955476301776,0.9817587782932237
0.19833286954481016,0.9801288948832586
0.2062661843266026,0.9784112818132396
0.21419949910839498,0.9766042876921898
0.22213281389018738,0.9747061896894211
0.2300661286719798,0.9727151950755084
0.23799944345377222,0.970629446719107
0.2459327582355646,0.9684470310778314
0.25386607301735703,0.9661659877355467
0.2617993877991494,0.963784319896175
0.26973270258094184,0.9613000054818962
0.2776660173627342,0.958711008632889
0.28559933214452665,0.9560152914927869
0.29353264692631903,0.9532108262127446
0.30146596170811146,0.95029560712586
0.30939927648990384,0.9472676630479225
0.3173325912716963,0.9441250696490174
0.3252659060534887,0.9408659618270596
0.3331992208352811,0.9374885459908404
0.34113253561707346,0.933991112141084
0.3490658503988659,0.9303720456086227
0.3569991651806583,0.9266298382913354
0.36493247996245076,0.922763099206553
0.37286579474424314,0.918770564158512
0.3807991095260355,0.9146511043100556
0.38873242430782795,0.9104037334397614
0.39666573908962033,0.9060276136706094
0.4045990538714127,0.9015220594696502
0.4125323686532052,0.8968865397434537
0.4204656834349976,0.8921206778929919
0.42839899821678995,0.8872242497463959
0.4363323129985824,0.8821971793510051
0.44426562778037476,0.8770395326876016
0.45219894256216714,0.8717515094573554
0.4601322573439596,0.866333433186069
0.468065572125752,0.860785739988201
0.47599888690754444,0.8551089664221247
0.4839322016893368,0.8493037369477782
0.4918655164711292,0.8433707515596992
0.4997988312529216,0.8373107741975154
0.5077321460347141,0.8311246225439912
0.5156654608165064,0.8248131597786577
0.5235987755982988,0.8183772887872659
0.5315320903800912,0.8118179492132717
0.5394654051618837,0.8051361175944809
0.5473987199436761,0.7983328106570883
0.5553320347254684,0.7914090916525257
0.5632653495072609,0.784366079431515
0.5711986642890533,0.7772049597615956
0.5791319790708457,0.7699269982332198
0.5870652938526381,0.7625335539609601
0.5949986086344304,0.7550260931897009
0.6029319234162229,0.7474062018660369
0.6108652381980153,0.7396755962262939
0.6187985529798077,0.7318361304983384
0.6267318677616001,0.7238898009037751
0.6346651825433925,0.7158387452806647
0.642598497325185,0.7076852378257211
0.6505318121069774,0.6994316786834438
0.6584651268887698,0.6910805783888504
0.6663984416705622,0.6826345375309268
0.6743317564523545,0.6740962224649616
0.6822650712341469,0.6654683385225468
0.6901983860159394,0.6567536030243355
0.6981317007977318,0.6479547215940112
0.7060650155795242,0.6390743729735299
0.7139983303613165,0.6301152099404792
0.7219316451431089,0.6210798873065847
0.7298649599249015,0.6119711326282615
0.7377982747066939,0.6027918814855803
0.7457315894884863,0.5935455071105163
0.7536649042702787,0.5842361834299118
0.761598219052071,0.5748694298128834
0.7695315338338634,0.565452891401172
0.7774648486156559,0.5559974035215547
0.7853981633974483,0.5465183592687951
